user_id,first_name,last_name,email,phone_number,profile_picture,date_of_birth,address,user_role,account_status,date_joined,last_login,Latitude,Longitude
21,Christine,Lee,william66@example.net,306.748.3827x51165,barbara.jpg,2006-08-13,"Sacred Heart College, 61, Retreat Road, Chilwell, Newtown, Geelong, City of Greater Geelong, Victoria, 3220, Australia",driver,suspended,2023-03-11,2024-10-08,-38.1495588,144.3400561
22,Melissa,Griffin,jmcgee@example.org,902-336-1452x5107,amy.jpg,1991-07-04,"Ted Wilson Trail, Wandana Heights, Geelong, City of Greater Geelong, Victoria, 3216, Australia",driver,active,2024-01-08,2024-06-30,-38.1888813,144.3061954
23,Frank,Gardner,gporter@example.com,595-958-2600,mary.jpg,1959-11-08,"Hume Street, Grovedale, Geelong, City of Greater Geelong, Victoria, 3216, Australia",driver,active,2020-11-09,2024-05-13,-38.2020192,144.326352
24,Robert,Harrington,levyandrea@example.org,(619)578-5360x2351,john.jpg,1979-10-19,"Batesford, City of Greater Geelong, Victoria, 3213, Australia",host,suspended,2021-07-24,2024-03-15,-38.0940007,144.2603992
25,Kevin,Fisher,smiththeresa@example.net,908-894-9913,leonard.jpg,1957-11-01,"Yaraan Street, Bell Park, Geelong, City of Greater Geelong, Victoria, 3215, Australia",driver,active,2020-12-22,2024-09-17,-38.1123652,144.3341947
26,Beth,Campbell,mariafields@example.net,304.935.1176x383,timothy.jpg,1981-06-19,"Lumb Place, Rippleside, Geelong, City of Greater Geelong, Victoria, 3215, Australia",host,active,2021-11-01,2024-02-28,-38.1261924,144.3577442
27,Dana,Armstrong,timothy41@example.com,001-327-993-4444x15663,michael.jpg,1973-05-10,"Fyansford, City of Greater Geelong, Victoria, 3218, Australia",driver,active,2020-10-28,2024-02-04,-38.1385267,144.3126742
28,Theresa,Vaughn,jennifer21@example.net,464.692.8994,joshua.jpg,1983-08-28,"Batesford, City of Greater Geelong, Victoria, 3213, Australia",driver,active,2020-05-04,2024-02-12,-38.0940007,144.2603992
29,Frank,Boone,scunningham@example.com,(792)509-0160,lance.jpg,1990-09-04,"Lonsdale Street, Geelong, City of Greater Geelong, Victoria, 3219, Australia",host,active,2022-09-17,2024-08-23,-38.1588404,144.3599864
30,Tammy,Wheeler,vwilson@example.org,+1-653-200-9654,grant.jpg,1973-10-30,"Colac Road, Belmont, Geelong, City of Greater Geelong, Victoria, 3216, Australia",driver,suspended,2024-06-21,2024-02-22,-38.1929805,144.3238634
31,Anne,White,mfigueroa@example.com,+1-844-971-4326x84329,matthew.jpg,1990-06-21,"Mina Street, North Geelong, Geelong, City of Greater Geelong, Victoria, 3215, Australia",driver,active,2024-05-13,2024-02-02,-38.1083132,144.3357845
32,Joshua,Moore,zforbes@example.org,444.227.0699x58497,joseph.jpg,2001-04-01,"Myrtle Avenue, Newcomb, Geelong, City of Greater Geelong, Victoria, 3219, Australia",driver,suspended,2023-09-05,2024-01-18,-38.1581294,144.3880122
33,Russell,Lee,greercatherine@example.net,6607134987,heather.jpg,1971-06-28,"Geelong, City of Greater Geelong, Victoria, 3218, Australia",host,suspended,2022-10-06,2024-08-21,-38.1180538,144.2047333
34,Andre,Weaver,rodneypeterson@example.org,286-614-3981,aaron.jpg,1977-08-10,"Deakin University (Geelong Waurn Ponds Campus), Lang Court, Waurn Ponds, Geelong, City of Greater Geelong, Victoria, 3216, Australia",driver,active,2024-05-24,2024-07-08,-38.1980218,144.2989393
35,Amanda,Deleon,michaelbrown@example.org,(415)778-7507x3360,richard.jpg,1974-09-23,"St Albans Park, City of Greater Geelong, Victoria, 3219, Australia",host,suspended,2023-05-01,2024-03-15,-38.18916249999999,144.3922438
36,Brian,Lawson,george64@example.com,8758530026,james.jpg,1959-02-02,"McKellar Centre, 45 - 95, Ballarat Road, Hamlyn Heights, Geelong, City of Greater Geelong, Victoria, 3215, Australia",host,suspended,2022-03-27,2024-07-23,-38.1190601,144.3358475
37,Angela,Peterson,malonebrent@example.net,2592028086,theodore.jpg,1966-05-19,"Young Street, Breakwater, Geelong, City of Greater Geelong, Victoria, 3219, Australia",host,active,2022-02-22,2024-06-04,-38.1794395,144.3795612
38,Ariel,Mcclain,ryanmahoney@example.com,586.985.0641,amy.jpg,1989-07-21,"Dew Street, Whittington, Geelong, City of Greater Geelong, Victoria, 3219, Australia",driver,suspended,2024-10-02,2024-04-05,-38.180022,144.3884337
39,Terri,Cameron,margarettorres@example.net,001-633-332-8148x92285,kari.jpg,1972-11-24,"342, Ryrie Street, Geelong, City of Greater Geelong, Victoria, 3219, Australia",host,active,2021-08-13,2024-04-16,-38.152202,144.368916
40,Connie,Wheeler,ramirezkatelyn@example.com,692.496.7567x03813,sierra.jpg,1992-04-05,"Geelong, City of Greater Geelong, Victoria, 3218, Australia",driver,active,2023-09-13,2024-06-17,-38.1180538,144.2047333
41,Brandon,Roberts,uschmidt@example.net,001-207-677-6777x07347,zachary.jpg,1962-04-11,"Barwon Sewer Aqueduct, Kadak Place, Breakwater, Geelong, City of Greater Geelong, Victoria, 3219, Australia",host,suspended,2022-03-07,2024-06-24,-38.1876741,144.3745351
42,David,Hanson,jblair@example.org,(239)889-9434x50318,david.jpg,2005-12-07,"Geelong, City of Greater Geelong, Victoria, 3218, Australia",driver,active,2023-09-16,2024-07-23,-38.1180538,144.2047333
43,Andrew,Castillo,jose51@example.org,7427338466,robert.jpg,1983-04-06,"Ballarat Road, Bell Post Hill, Batesford, City of Greater Geelong, Victoria, 3213, Australia",driver,suspended,2023-02-12,2024-02-26,-38.1052997,144.3201447
44,Alexa,Williams,flutz@example.net,001-725-848-0919x625,april.jpg,1988-11-03,"Bevington Court, Highton, Geelong, City of Greater Geelong, Victoria, 3216, Australia",host,active,2022-06-20,2024-08-30,-38.1608842,144.3149468
45,Melissa,Dougherty,ian33@example.net,278.567.8625,william.jpg,2003-10-16,"Geelong Ring Road, Highton, Geelong, City of Greater Geelong, Victoria, 3216, Australia",host,active,2021-10-19,2024-01-20,-38.1771833,144.2952423
46,Monica,White,kellyreyes@example.net,+1-651-865-6229x219,mallory.jpg,1984-08-10,"Barwarre Gardens Retirement Village, MacFarlane Street, Marshall, Geelong, City of Greater Geelong, Victoria, 3216, Australia",host,suspended,2023-03-03,2024-10-06,-38.1942864,144.3559391
47,Ann,Brown,emily24@example.com,885-995-8968,carla.jpg,1994-03-08,"Batesford, City of Greater Geelong, Victoria, 3213, Australia",host,active,2022-10-16,2024-06-10,-38.0940007,144.2603992
48,Carl,Delacruz,jennifer09@example.org,412-885-5399x31031,eric.jpg,2002-10-12,"Shell Parade, Corio, Geelong, City of Greater Geelong, Victoria, 3214, Australia",host,active,2023-12-24,2024-02-12,-38.0704942,144.3898371
49,Stephanie,Phillips,charlesjohnson@example.org,650-368-1484x818,eric.jpg,1980-08-13,"Geelong, City of Greater Geelong, Victoria, 3218, Australia",driver,active,2020-06-05,2024-06-07,-38.1180538,144.2047333
50,Heidi,Richards,obolton@example.com,(784)363-1753x228,heidi.jpg,1998-11-15,"Hamilton Highway Off Ramp, Fyansford, Geelong, City of Greater Geelong, Victoria, 3218, Australia",driver,suspended,2023-09-07,2024-03-05,-38.1391633,144.288441
51,Jeffrey,Hatfield,martinbill@example.com,782.328.1874x83602,michael.jpg,1978-01-20,"Fyansford, City of Greater Geelong, Victoria, 3218, Australia",host,suspended,2022-04-19,2024-10-12,-38.1385267,144.3126742
52,Lauren,Woods,aberger@example.net,578-802-6379x327,daniel.jpg,1989-04-18,"Hitchcock Street, Breakwater, Geelong, City of Greater Geelong, Victoria, 3219, Australia",host,suspended,2023-08-09,2024-03-11,-38.1779716,144.3788157
53,Virginia,Green,julie96@example.org,878.865.3025x96767,cameron.jpg,1991-11-07,"4, Mackie Close, Hamlyn Heights, Geelong, City of Greater Geelong, Victoria, 3215, Australia",host,suspended,2022-11-04,2024-04-05,-38.1091474,144.3215709
54,Timothy,Lynn,hudsonlisa@example.com,500.486.1381x469,kathryn.jpg,2004-05-13,"61, Glengate Street, Hamlyn Heights, Geelong, City of Greater Geelong, Victoria, 3215, Australia",host,active,2023-04-30,2024-09-30,-38.11546,144.3228946
55,Stacey,Wolfe,denise51@example.net,9284249530,benjamin.jpg,1987-12-19,"Eldorado Tourist Park, 360, Ballarat Road, Batesford, City of Greater Geelong, Victoria, 3221, Australia",host,active,2023-05-31,2024-08-17,-38.1034545,144.3154907
56,Kristen,Chung,robert77@example.org,498-528-1769x8940,tamara.jpg,1995-02-27,"Axcess Consulting Group, 7,9, Yarra Street, Geelong, City of Greater Geelong, Victoria, 3220, Australia",driver,suspended,2021-02-18,2024-08-08,-38.1462186,144.3643525
57,Claire,Pierce,judithjackson@example.org,+1-733-567-0095x8614,stephanie.jpg,1959-02-10,"Ellstone Avenue, St Albans Park, Geelong, City of Greater Geelong, Victoria, 3219, Australia",host,active,2022-05-04,2024-04-26,-38.1867608,144.3866268
58,Mark,Rhodes,jacksonsandra@example.net,001-229-563-5239x82395,karen.jpg,1988-07-28,"Noble Street, Newtown, Geelong, City of Greater Geelong, Victoria, 3220, Australia",driver,active,2023-04-09,2024-01-16,-38.1530084,144.3374636
59,Pamela,Walker,ymolina@example.net,203.557.3208,bryan.jpg,1976-11-26,"Cannes Court, Queens Park, Highton, Geelong, City of Greater Geelong, Victoria, 3216, Australia",host,active,2024-05-25,2024-01-17,-38.1518261,144.3165138
60,Erin,Lewis,georgeclark@example.net,(272)332-0390,mary.jpg,1994-04-04,"Creamery Road, Bell Post Hill, Batesford, City of Greater Geelong, Victoria, 3213, Australia",host,suspended,2021-02-25,2024-08-01,-38.0984759,144.3162869
61,Adrienne,Carr,amandathompson@example.net,(755)600-8704x666,john.jpg,2000-11-05,"Geelong, City of Greater Geelong, Victoria, 3218, Australia",host,active,2023-10-18,2024-05-01,-38.1180538,144.2047333
62,Amanda,Wells,riosrebecca@example.net,277.478.7895x15554,ryan.jpg,1995-08-04,"Fyansford, Batesford, City of Greater Geelong, Victoria, 3213, Australia",host,suspended,2022-04-11,2024-09-01,-38.1385267,144.3126742
63,Jason,Stone,anthonycox@example.org,(759)675-9188x849,kyle.jpg,1979-10-23,"Geelong, City of Greater Geelong, Victoria, 3218, Australia",host,suspended,2023-06-10,2024-05-30,-38.1180538,144.2047333
64,Jocelyn,Randall,zporter@example.net,640-636-0924,christopher.jpg,1985-12-26,"Barwon Valley Golf Course, 61, Barwon Heads Road, Belmont, Geelong, City of Greater Geelong, Victoria, 3216, Australia",driver,suspended,2020-05-12,2024-01-05,-38.175411,144.3590139
65,Jennifer,Franklin,ljenkins@example.org,678-415-5011x858,eric.jpg,1998-10-01,"Fairview Avenue, Chilwell, Newtown, Geelong, City of Greater Geelong, Victoria, 3220, Australia",driver,active,2023-04-27,2024-06-29,-38.1571257,144.3468162
66,Aaron,Lam,mark87@example.net,(459)866-1482,debra.jpg,1959-03-19,"16, Liverpool Street, Rippleside, Geelong, City of Greater Geelong, Victoria, 3215, Australia",host,suspended,2024-09-23,2024-09-20,-38.1261189,144.3538519
67,Diana,Martin,nharper@example.net,974-688-7270,frank.jpg,1997-11-19,"Kennedy Grove, Highton, Geelong, City of Greater Geelong, Victoria, 3216, Australia",driver,active,2022-08-08,2024-03-16,-38.1791116,144.3182707
68,Terry,Rivas,kingguy@example.com,887.709.1745x06404,priscilla.jpg,1956-04-23,"Barwon River Holiday Park, 153, Barrabool Road, Belmont, Geelong, City of Greater Geelong, Victoria, 3216, Australia",host,active,2024-07-02,2024-08-09,-38.1661515,144.3493038
69,Matthew,Clark,aortiz@example.net,814.761.0580x32168,amanda.jpg,1991-12-08,"Crowle Street, North Geelong, Geelong, City of Greater Geelong, Victoria, 3215, Australia",driver,suspended,2024-10-08,2024-06-01,-38.1088998,144.3628526
70,John,Warner,eclarke@example.org,803.977.2418x743,sandra.jpg,1954-02-22,"The Esplanade, North Shore, Geelong, City of Greater Geelong, Victoria, 3214, Australia",host,active,2023-08-23,2024-06-07,-38.1005113,144.373038
71,Stephen,Wood,delgadomaria@example.com,001-613-334-0374x5591,michael.jpg,1993-08-28,"Lumb Place, Rippleside, Geelong, City of Greater Geelong, Victoria, 3215, Australia",driver,suspended,2022-02-01,2024-02-24,-38.1261924,144.3577442
72,Dana,Johnson,david05@example.com,596-790-9704,alejandra.jpg,1956-06-23,"Reigate Road, Highton, Geelong, City of Greater Geelong, Victoria, 3216, Australia",driver,suspended,2023-07-29,2024-02-13,-38.164427,144.3167632
73,Richard,Bradley,james58@example.com,+1-279-652-5263x24617,amber.jpg,1960-09-26,"Geelong, City of Greater Geelong, Victoria, 3218, Australia",host,active,2020-08-26,2024-01-31,-38.1180538,144.2047333
74,Sarah,Waller,gmartin@example.net,(969)353-6513x16824,jason.jpg,2005-12-17,"Fyansford, City of Greater Geelong, Victoria, 3218, Australia",host,active,2023-08-02,2024-05-07,-38.1385267,144.3126742
75,Tracie,Martin,pinedadon@example.com,993.251.4956,rhonda.jpg,2002-03-20,"Wathaurong Aboriginal Co-operative, 62, Morgan Street, North Geelong, Geelong, City of Greater Geelong, Victoria, 3215, Australia",host,active,2022-11-30,2024-08-11,-38.1003626,144.3500768
76,Sophia,Contreras,mariafisher@example.net,201-501-5845x54415,christopher.jpg,1973-07-16,"Belmont, Geelong, City of Greater Geelong, Victoria, 3216, Australia",driver,suspended,2024-02-25,2024-07-10,-38.1753785,144.342376
77,Bradley,Garza,richardsonbryce@example.com,+1-717-727-5739x37244,joshua.jpg,2004-04-11,"Baden Powell Drive, North Geelong, Geelong, City of Greater Geelong, Victoria, 3215, Australia",driver,suspended,2021-04-23,2024-02-21,-38.1215791,144.3406403
78,Wesley,Ortiz,qcox@example.org,963-476-3679x475,travis.jpg,1969-02-19,"Porter Avenue, Highton, Geelong, City of Greater Geelong, Victoria, 3216, Australia",host,active,2022-05-18,2024-03-29,-38.1813121,144.319425
79,Paula,Schultz,lisaruiz@example.net,5628028495,angela.jpg,1988-11-02,"Corio Quay Road, North Geelong, Geelong, City of Greater Geelong, Victoria, 3215, Australia",host,suspended,2021-05-27,2024-01-07,-38.10623,144.3583639
80,Melissa,White,soniajohns@example.com,001-318-372-9546x3914,timothy.jpg,1997-06-27,"East Geelong Golf Course, Limeburners Road, East Geelong, Geelong, City of Greater Geelong, Victoria, 3219, Australia",host,active,2022-03-02,2024-10-17,-38.1491678,144.3840303
81,Theresa,Lawson,gina23@example.org,001-552-403-6815,cynthia.jpg,2006-06-05,"Kindale Court, Highton, Geelong, City of Greater Geelong, Victoria, 3216, Australia",host,active,2024-02-26,2024-05-18,-38.1892949,144.3189358
82,Tyler,Duncan,beckyvillarreal@example.net,001-638-970-7981x664,jessica.jpg,1963-07-06,"Colac Road, Belmont, Geelong, City of Greater Geelong, Victoria, 3216, Australia",host,suspended,2023-06-06,2024-08-01,-38.1929805,144.3238634
83,Angela,Haas,sandrasimmons@example.org,+1-760-813-1637x478,mark.jpg,1970-06-13,"Geelong Racecourse, Dalton Street, South Geelong, Geelong, City of Greater Geelong, Victoria, 3220, Australia",host,suspended,2021-10-07,2024-07-26,-38.1706798,144.3693793
84,Rebecca,Gregory,davidmason@example.net,6167081509,gerald.jpg,1997-05-08,"Laura Avenue, Belmont, Geelong, City of Greater Geelong, Victoria, 3216, Australia",host,active,2021-09-19,2024-07-27,-38.1793241,144.3302431
85,Amanda,Hicks,julian30@example.com,285.415.6521,katherine.jpg,1987-08-16,"Wentworth Lane, South Geelong, Geelong, City of Greater Geelong, Victoria, 3220, Australia",host,suspended,2021-04-10,2024-10-05,-38.1627523,144.3600012
86,Natalie,Rivera,padams@example.net,001-897-661-1317x1175,melissa.jpg,1975-04-06,"Larneuk Street, North Shore, Geelong, City of Greater Geelong, Victoria, 3214, Australia",driver,active,2022-07-30,2024-03-12,-38.0951988,144.3678975
87,Laura,Walker,lindseyhoward@example.net,8399424044,amber.jpg,1955-05-06,"Little Richmond Street, Geelong, City of Greater Geelong, Victoria, 3220, Australia",driver,active,2023-07-08,2024-08-06,-38.1592743,144.3677658
88,Patrick,Calhoun,nicholashouse@example.com,+1-840-263-3450x478,kimberly.jpg,1993-02-02,"Geelong Ring Road, Hamlyn Heights, Batesford, City of Greater Geelong, Victoria, 3213, Australia",host,active,2021-01-17,2024-05-13,-38.104996,144.3202733
89,Mark,Ford,imurphy@example.org,589-547-0540,brandon.jpg,2005-08-28,"White Street, Belmont, Geelong, City of Greater Geelong, Victoria, 3216, Australia",host,suspended,2021-01-25,2024-10-08,-38.1777652,144.3253564
90,Alexander,Pennington,lkrueger@example.net,001-793-479-3380x652,joseph.jpg,1989-04-07,"Porter Avenue, Highton, Geelong, City of Greater Geelong, Victoria, 3216, Australia",driver,active,2020-09-23,2024-07-01,-38.1813121,144.319425
91,Michele,Vaughan,snowrebecca@example.com,679-803-6858x211,samuel.jpg,1958-11-28,"62, Skene Street, Newtown, Geelong, City of Greater Geelong, Victoria, 3220, Australia",driver,suspended,2022-11-23,2024-01-11,-38.1474507,144.3448832
92,Kurt,Smith,vegalaurie@example.org,+1-693-471-3339x48250,sarah.jpg,1967-05-20,"Grosvenor Drive, Wandana Heights, Geelong, City of Greater Geelong, Victoria, 3216, Australia",driver,suspended,2020-03-14,2024-08-14,-38.1733311,144.3025459
93,Daniel,Gordon,leslie39@example.net,383-673-6099,rachel.jpg,1997-09-10,"Lumb Place, Rippleside, Geelong, City of Greater Geelong, Victoria, 3215, Australia",host,active,2021-04-22,2024-03-18,-38.1261924,144.3577442
94,Robert,Best,mckenziejason@example.com,3374632577,lisa.jpg,2000-09-26,"Cheltenham Road, Newcomb, Geelong, City of Greater Geelong, Victoria, 3219, Australia",host,active,2021-09-15,2024-07-31,-38.1614252,144.3861993
95,Kevin,Parker,lfoster@example.org,949.786.8420x42143,morgan.jpg,1966-01-18,"Limeburners Road, East Geelong, Geelong, City of Greater Geelong, Victoria, 3219, Australia",host,suspended,2020-02-23,2024-08-29,-38.1521137,144.3851731
96,Lucas,Williams,gnavarro@example.org,239-655-2016x713,claudia.jpg,1966-11-08,"Marfell Court, Highton, Geelong, City of Greater Geelong, Victoria, 3216, Australia",driver,active,2022-11-30,2024-05-05,-38.1880525,144.3167212
97,Colton,Gill,deborah94@example.com,574.418.6141x4375,diane.jpg,1963-02-28,"Basin Rise, Highton, Geelong, City of Greater Geelong, Victoria, 3216, Australia",driver,suspended,2022-01-04,2024-08-16,-38.1862588,144.3082341
98,James,Ingram,ffreeman@example.org,242.284.8948x82508,george.jpg,1980-02-15,"Crowle Street, North Geelong, Geelong, City of Greater Geelong, Victoria, 3215, Australia",host,suspended,2021-11-03,2024-05-05,-38.1088998,144.3628526
99,Lawrence,Schmidt,michelleknight@example.net,2338071668,michael.jpg,1988-10-15,"Gairloch Grove, Newtown, Geelong, City of Greater Geelong, Victoria, 3220, Australia",driver,suspended,2024-03-29,2024-09-30,-38.1576868,144.3226475
100,Gregory,Gibson,christensennathan@example.com,(851)819-6700,juan.jpg,1957-06-06,"North Shore Road, Norlane, Geelong, City of Greater Geelong, Victoria, 3214, Australia",host,suspended,2023-07-09,2024-08-24,-38.0993829,144.3597253
